Posição;Codigo_IBGE;Municipio;Unidade federativa;Estado;Populacao
1016º;2708808;São Sebastião; Alagoas;AL;34424
1017º;2110708;São Domingos do Maranhão; Maranhão;MA;34391
1018º;5209101;Goiatuba; Goiás;GO;34307
1019º;4202800;Braço do Norte; Santa Catarina;SC;34294
1020º;4321451;Teutônia; Rio Grande do Sul;RS;34275
1021º;1502756;Concórdia do Pará; Pará;PA;34236
1022º;2613602;São José do Egito; Pernambuco;PE;34210
1023º;1503101;Gurupá; Pará;PA;34127
1024º;3201902;Domingos Martins; Espírito Santo;ES;34120
1025º;4117701;Palmeira; Paraná;PR;34109
1026º;2106607;Matões; Maranhão;MA;34099
1027º;3513702;Descalvado; São Paulo;SP;34097
1028º;2613503;São José do Belmonte; Pernambuco;PE;34082
1029º;1502954;Eldorado dos Carajás; Pará;PA;34069
1030º;3165537;Sarzedo; Minas Gerais;MG;34050
1031º;1500503;Almeirim; Pará;PA;34044
1032º;4212502;Penha; Santa Catarina;SC;34022
1033º;1302553;Manaquiri; Amazonas;AM;33981
1034º;2307007;Jaguaruana; Ceará;CE;33960
1035º;3146008;Ouro Fino; Minas Gerais;MG;33938
1036º;2917706;Jaguarari; Bahia;BA;33915
1037º;2206209;Miguel Alves; Piauí;PI;33901
1038º;2106904;Monção; Maranhão;MA;33888
1039º;5103205;Colíder; Mato Grosso;MT;33855
1040º;1505437;Ourilândia do Norte; Pará;PA;33831
1041º;3508603;Cachoeira Paulista; São Paulo;SP;33827
1042º;2112605;Urbano Santos; Maranhão;MA;33791
1043º;2414407;Touros; Rio Grande do Norte;RN;33716
1044º;2904902;Cachoeira; Bahia;BA;33659
1045º;2509701;Monteiro; Paraíba;PB;33638
1046º;2908507;Conceição do Jacuípe; Bahia;BA;33631
1047º;3531902;Morro Agudo; São Paulo;SP;33598
1048º;2608107;João Alfredo; Pernambuco;PE;33570
1049º;4306403;Dois Irmãos; Rio Grande do Sul;RS;33547
1050º;5003306;Coxim; Mato Grosso do Sul;MS;33547
1051º;3505609;Barrinha; São Paulo;SP;33537
1052º;2926301;Riachão do Jacuípe; Bahia;BA;33498
1053º;4108809;Guaíra; Paraná;PR;33497
1054º;2605707;Floresta; Pernambuco;PE;33488
1055º;4302808;Caçapava do Sul; Rio Grande do Sul;RS;33476
1056º;2506004;Esperança; Paraíba;PB;33386
1057º;5106505;Poconé; Mato Grosso;MT;33386
1058º;2704500;Maragogi; Alagoas;AL;33351
1059º;4102000;Assis Chateaubriand; Paraná;PR;33306
1060º;4110102;Imbituva; Paraná;PR;33306
1061º;3506607;Biritiba Mirim; São Paulo;SP;33265
1062º;3518206;Guararapes; São Paulo;SP;33257
1063º;2310258;Paraipaba; Ceará;CE;33232
1064º;3105400;Barão de Cocais; Minas Gerais;MG;33232
1065º;2108504;Pindaré-Mirim; Maranhão;MA;33186
1066º;1505205;Oeiras do Pará; Pará;PA;33182
1067º;4318903;São Luiz Gonzaga; Rio Grande do Sul;RS;33124
1068º;3534609;Osvaldo Cruz; São Paulo;SP;33118
1069º;3550209;São Miguel Arcanjo; São Paulo;SP;33071
1070º;3169356;Três Marias; Minas Gerais;MG;33062
1071º;3113305;Carangola; Minas Gerais;MG;33022
1072º;1100098;Espigão d'Oeste; Rondônia;RO;33009
1073º;4313706;Palmeira das Missões; Rio Grande do Sul;RS;32967
1074º;2112902;Vitória do Mearim; Maranhão;MA;32956
1075º;1300508;Barreirinha; Amazonas;AM;32919
1076º;2616308;Vicência; Pernambuco;PE;32897
1077º;2302305;Bela Cruz; Ceará;CE;32851
1078º;2312007;Santana do Acaraú; Ceará;CE;32851
1079º;2100956;Arame; Maranhão;MA;32825
1080º;2512101;Pombal; Paraíba;PB;32803
1081º;3546603;Santa Fé do Sul; São Paulo;SP;32796
1082º;2911204;Gandu; Bahia;BA;32778
1083º;4119301;Pinhão; Paraná;PR;32722
1084º;3162922;São Joaquim de Bicas; Minas Gerais;MG;32696
1085º;2609501;Nazaré da Mata; Pernambuco;PE;32673
1086º;1503507;Irituia; Pará;PA;32639
1087º;2907806;Cícero Dantas; Bahia;BA;32636
1088º;4122206;Rio Branco do Sul; Paraná;PR;32635
1089º;2103703;Cururupu; Maranhão;MA;32559
1090º;2309300;Nova Russas; Ceará;CE;32487
1091º;2708402;São José da Tapera; Alagoas;AL;32462
1092º;3108602;Brasília de Minas; Minas Gerais;MG;32460
1093º;4117909;Palotina; Paraná;PR;32389
1094º;1504455;Medicilândia; Pará;PA;32347
1095º;1507003;Santo Antônio do Tauá; Pará;PA;32346
1096º;1505650;Placas; Pará;PA;32325
1097º;3302254;Itatiaia; Rio de Janeiro;RJ;32312
1098º;1507201;São Domingos do Capim; Pará;PA;32285
1099º;2923704;Paratinga; Bahia;BA;32274
1100º;2407203;Macau; Rio Grande do Norte;RN;32260
1101º;3152006;Pompéu; Minas Gerais;MG;32248
1102º;2909307;Correntina; Bahia;BA;32243
1103º;1500958;Aurora do Pará; Pará;PA;32200
1104º;1100338;Nova Mamoré; Rondônia;RO;32184
1105º;4113304;Laranjeiras do Sul; Paraná;PR;32167
1106º;2313104;Tabuleiro do Norte; Ceará;CE;32079
1107º;5103353;Confresa; Mato Grosso;MT;32076
1108º;2905602;Camacan; Bahia;BA;32023
1109º;1505700;Ponta de Pedras; Pará;PA;32007
1110º;1501105;Bagre; Pará;PA;31967
1111º;2100477;Alto Alegre do Pindaré; Maranhão;MA;31967
1112º;1504604;Mocajuba; Pará;PA;31917
1113º;5217401;Pires do Rio; Goiás;GO;31909
1114º;4111506;Ivaiporã; Paraná;PR;31886
1115º;3157203;Santa Bárbara; Minas Gerais;MG;31873
1116º;4109708;Ibaiti; Paraná;PR;31854
1117º;3526209;Juquitiba; São Paulo;SP;31844
1118º;2605301;Exu; Pernambuco;PE;31709
1119º;4308508;Frederico Westphalen; Rio Grande do Sul;RS;31675
1120º;3140704;Mateus Leme; Minas Gerais;MG;31631
1121º;3124302;Espinosa; Minas Gerais;MG;31603
1122º;3203056;Jaguaré; Espírito Santo;ES;31589
1123º;2109452;Raposa; Maranhão;MA;31586
1124º;2605905;Gameleira; Pernambuco;PE;31578
1125º;1508035;Tracuateua; Pará;PA;31549
1126º;2113009;Vitorino Freire; Maranhão;MA;31520
1127º;2607307;Ipubi; Pernambuco;PE;31515
1128º;3141801;Minas Novas; Minas Gerais;MG;31509
1129º;3201605;Conceição da Barra; Espírito Santo;ES;31479
1130º;2307502;Lavras da Mangabeira; Ceará;CE;31476
1131º;4304200;Candelária; Rio Grande do Sul;RS;31475
1132º;5210208;Iporá; Goiás;GO;31471
1133º;1301159;Careiro da Várzea; Amazonas;AM;31459
1134º;2800605;Barra dos Coqueiros; Sergipe;SE;31439
1135º;3510005;Cândido Mota; São Paulo;SP;31410
1136º;2310308;Parambu; Ceará;CE;31391
1137º;1400472;Rorainópolis; Roraima;RR;31387
1138º;3202306;Guaçuí; Espírito Santo;ES;31372
1139º;2930154;Serra do Ramalho; Bahia;BA;31362
1140º;4308201;Flores da Cunha; Rio Grande do Sul;RS;31352
1141º;3145307;Novo Cruzeiro; Minas Gerais;MG;31339
1142º;3205010;Sooretama; Espírito Santo;ES;31278
1143º;3200805;Baixo Guandu; Espírito Santo;ES;31263
1144º;3525201;Jarinu; São Paulo;SP;31173
1145º;1301803;Ipixuna; Amazonas;AM;31172
1146º;3155603;Rio Pardo de Minas; Minas Gerais;MG;31171
1147º;3520301;Iguape; São Paulo;SP;31117
1148º;2615607;Trindade; Pernambuco;PE;31103
1149º;4217709;Sombrio; Santa Catarina;SC;31084
1150º;4320800;Soledade; Rio Grande do Sul;RS;31067
1151º;4102406;Bandeirantes; Paraná;PR;31061
1152º;2906873;Capim Grosso; Bahia;BA;31055
1153º;5002407;Caarapó; Mato Grosso do Sul;MS;31005
1154º;5203302;Bela Vista de Goiás; Goiás;GO;31004
1155º;5214507;Nerópolis; Goiás;GO;30931
1156º;2914653;Itabela; Bahia;BA;30901
1157º;2927200;Ruy Barbosa; Bahia;BA;30900
1158º;2801207;Canindé de São Francisco; Sergipe;SE;30894
1159º;2606101;Glória do Goitá; Pernambuco;PE;30847
1160º;2902906;Barra do Choça; Bahia;BA;30831
1161º;3300258;Arraial do Cabo; Rio de Janeiro;RJ;30827
1162º;2504306;Catolé do Rocha; Paraíba;PB;30819
1163º;2409407;Pau dos Ferros; Rio Grande do Norte;RN;30802
1164º;3520103;Igarapava; São Paulo;SP;30791
1165º;2906303;Canavieiras; Bahia;BA;30722
1166º;4209003;Joaçaba; Santa Catarina;SC;30684
1167º;3510807;Casa Branca; São Paulo;SP;30655
1168º;4304804;Carlos Barbosa; Rio Grande do Sul;RS;30630
1169º;2205706;Luís Correia; Piauí;PI;30558
1170º;4202107;Barra Velha; Santa Catarina;SC;30539
1171º;4313375;Nova Santa Rita; Rio Grande do Sul;RS;30482
1172º;3518305;Guararema; São Paulo;SP;30465
1173º;1504059;Mãe do Rio; Pará;PA;30389
1174º;3114303;Carmo do Paranaíba; Minas Gerais;MG;30339
1175º;2803609;Laranjeiras; Sergipe;SE;30327
1176º;3200102;Afonso Cláudio; Espírito Santo;ES;30326
1177º;3200409;Anchieta; Espírito Santo;ES;30285
1178º;4322004;Triunfo; Rio Grande do Sul;RS;30159
1179º;4104253;Campo Magro; Paraná;PR;30151
1180º;1500701;Anajás; Pará;PA;30091
1181º;3110608;Cambuí; Minas Gerais;MG;30068
1182º;2101004;Arari; Maranhão;MA;30014
1183º;3538808;Piraju; São Paulo;SP;29930
1184º;5215702;Palmeiras de Goiás; Goiás;GO;29915
1185º;3200201;Alegre; Espírito Santo;ES;29869
1186º;3530102;Mirandópolis; São Paulo;SP;29844
1187º;1506005;Prainha; Pará;PA;29827
1188º;3304003;Piraí; Rio de Janeiro;RJ;29802
1189º;2805703;Propriá; Sergipe;SE;29756
1190º;3542206;Rancharia; São Paulo;SP;29743
1191º;1501907;Bujaru; Pará;PA;29717
1192º;1301308;Codajás; Amazonas;AM;29691
1193º;4119608;Pitanga; Paraná;PR;29686
1194º;3551603;Serra Negra; São Paulo;SP;29669
1195º;1504000;Limoeiro do Ajuru; Pará;PA;29623
1196º;3537909;Pilar do Sul; São Paulo;SP;29612
1197º;2606606;Ibimirim; Pernambuco;PE;29585
1198º;1504307;Maracanã; Pará;PA;29559
1199º;4111258;Itaperuçu; Paraná;PR;29493
1200º;2615003;Taquaritinga do Norte; Pernambuco;PE;29472
1201º;2922300;Muritiba; Bahia;BA;29420
1202º;3203007;Iúna; Espírito Santo;ES;29417
1203º;3301876;Iguaba Grande; Rio de Janeiro;RJ;29344
1204º;1500859;Anapu; Pará;PA;29312
1205º;2914505;Irará; Bahia;BA;29305
1206º;4317301;Santa Vitória do Palmar; Rio Grande do Sul;RS;29298
1207º;2403608;Extremoz; Rio Grande do Norte;RN;29282
1208º;4219705;Xaxim; Santa Catarina;SC;29254
1209º;2112100;Timbiras; Maranhão;MA;29241
1210º;2311603;Redenção; Ceará;CE;29238
1211º;2105005;Humberto de Campos; Maranhão;MA;29143
1212º;2923803;Paripiranga; Bahia;BA;29124
1213º;2106755;Miranda do Norte; Maranhão;MA;29121
1214º;2907103;Carinhanha; Bahia;BA;29118
1215º;2401453;Baraúna; Rio Grande do Norte;RN;29112
1216º;2933000;Valente; Bahia;BA;29111
1217º;3116605;Cláudio; Minas Gerais;MG;29093
1218º;2603207;Caetés; Pernambuco;PE;29065
1219º;2914901;Itacaré; Bahia;BA;29051
1220º;3526407;Laranjal Paulista; São Paulo;SP;29047
1221º;2208304;Piracuruca; Piauí;PI;28952
1222º;4321709;Três Coroas; Rio Grande do Sul;RS;28948
1223º;2102200;Buriti; Maranhão;MA;28916
1224º;3111606;Campos Gerais; Minas Gerais;MG;28908
1225º;2704203;Limoeiro de Anadia; Alagoas;AL;28904
1226º;2917300;Ituberá; Bahia;BA;28870
1227º;2614600;Tabira; Pernambuco;PE;28860
1228º;2610509;Passira; Pernambuco;PE;28856
1229º;2905909;Campo Alegre de Lourdes; Bahia;BA;28839
1230º;2110609;São Bernardo; Maranhão;MA;28825
1231º;2805604;Porto da Folha; Sergipe;SE;28788
1232º;3117306;Conceição das Alagoas; Minas Gerais;MG;28782
1233º;2309409;Novo Oriente; Ceará;CE;28737
1234º;4108601;Goioerê; Paraná;PR;28734
1235º;1301001;Carauari; Amazonas;AM;28719
1236º;2922508;Nazaré; Bahia;BA;28661
1237º;2928406;Santa Rita de Cássia; Bahia;BA;28613
1238º;2511202;Pedras de Fogo; Paraíba;PB;28607
1239º;3160405;Santo Antônio do Monte; Minas Gerais;MG;28603
1240º;1504406;Marapanim; Pará;PA;28563
1241º;3123601;Elói Mendes; Minas Gerais;MG;28556
1242º;1600501;Oiapoque; Amapá;AP;28534
1243º;4119954;Pontal do Paraná; Paraná;PR;28529
1244º;5213087;Minaçu; Goiás;GO;28518
1245º;3512209;Conchal; São Paulo;SP;28491
1246º;4101606;Arapoti; Paraná;PR;28480
1247º;3509254;Cajati; São Paulo;SP;28441
1248º;3151404;Pitangui; Minas Gerais;MG;28433
1249º;2705507;Murici; Alagoas;AL;28428
1250º;5005608;Miranda; Mato Grosso do Sul;MS;28423
1251º;2500304;Alagoa Grande; Paraíba;PB;28384
1252º;2923100;Olindina; Bahia;BA;28373
1253º;5200308;Alexânia; Goiás;GO;28360
1254º;2925758;Presidente Tancredo Neves; Bahia;BA;28272
1255º;2408201;Nísia Floresta; Rio Grande do Norte;RN;28266
1256º;2925501;Prado; Bahia;BA;28214
1257º;3109402;Buritizeiro; Minas Gerais;MG;28184
1258º;3152808;Prata; Minas Gerais;MG;28173
1259º;2401107;Areia Branca; Rio Grande do Norte;RN;28156
1260º;5105622;Mirassol d'Oeste; Mato Grosso;MT;28135
1261º;1504505;Melgaço; Pará;PA;28121
1262º;1100809;Candeias do Jamari; Rondônia;RO;28068
1263º;2100436;Alto Alegre do Maranhão; Maranhão;MA;28066
1264º;4116901;Nova Esperança; Paraná;PR;28062
1265º;2927705;Santa Cruz Cabrália; Bahia;BA;28058
1266º;4313300;Nova Prata; Rio Grande do Sul;RS;28021
1267º;3539202;Pirapozinho; São Paulo;SP;27974
1268º;3119302;Coromandel; Minas Gerais;MG;27958
1269º;3303856;Paty do Alferes; Rio de Janeiro;RJ;27942
1270º;2709202;Traipu; Alagoas;AL;27934
1271º;2202703;Cocal; Piauí;PI;27901
1272º;4318507;São José do Norte; Rio Grande do Sul;RS;27866
1273º;3546702;Santa Gertrudes; São Paulo;SP;27850
1274º;3136652;Juatuba; Minas Gerais;MG;27823
1275º;2307809;Marco; Ceará;CE;27822
1276º;1500347;Água Azul do Norte; Pará;PA;27797
1277º;2615805;Tupanatinga; Pernambuco;PE;27793
1278º;3300506;Bom Jardim; Rio de Janeiro;RJ;27779
1279º;1300409;Barcelos; Amazonas;AM;27772
1280º;4311304;Lagoa Vermelha; Rio Grande do Sul;RS;27751
1281º;4114302;Mandirituba; Paraná;PR;27750
1282º;2508307;Lagoa Seca; Paraíba;PB;27728
1283º;3514106;Dois Córregos; São Paulo;SP;27704
1284º;4125704;São Miguel do Iguaçu; Paraná;PR;27696
1285º;5104807;Jaciara; Mato Grosso;MT;27696
1286º;2925907;Quijingue; Bahia;BA;27672
1287º;5007695;São Gabriel do Oeste; Mato Grosso do Sul;MS;27660
1288º;3139607;Mantena; Minas Gerais;MG;27651
1289º;3547502;Santa Rita do Passa Quatro; São Paulo;SP;27641
1290º;3521804;Itaí; São Paulo;SP;27632
1291º;4205456;Forquilhinha; Santa Catarina;SC;27621
1292º;3538600;Piracaia; São Paulo;SP;27617
1293º;3204104;Pinheiros; Espírito Santo;ES;27601
1294º;2302701;Campos Sales; Ceará;CE;27513
1295º;5107875;Sapezal; Mato Grosso;MT;27485
1296º;2932309;Ubatã; Bahia;BA;27481
1297º;2701001;Boca da Mata; Alagoas;AL;27429
1298º;2105104;Icatu; Maranhão;MA;27423
1299º;2308302;Milagres; Ceará;CE;27413
1300º;5210109;Ipameri; Goiás;GO;27365
1301º;2707305;Porto Calvo; Alagoas;AL;27331
1302º;4322707;Vera Cruz; Rio Grande do Sul;RS;27325
1303º;2919157;Lapão; Bahia;BA;27323
1304º;4216503;São Joaquim; Santa Catarina;SC;27322
1305º;2612406;Sanharó; Pernambuco;PE;27308
1306º;1507706;São Sebastião da Boa Vista; Pará;PA;27302
1307º;3106309;Belo Oriente; Minas Gerais;MG;27277
1308º;2611309;Pombos; Pernambuco;PE;27204
1309º;2307106;Jardim; Ceará;CE;27187
1310º;2100709;Anajatuba; Maranhão;MA;27170
1311º;3556305;Valparaíso; São Paulo;SP;27154
1312º;2922102;Mundo Novo; Bahia;BA;27153
1313º;2607752;Itapissuma; Pernambuco;PE;27144
1314º;3303005;Miracema; Rio de Janeiro;RJ;27134
1315º;1100940;Cujubim; Rondônia;RO;27131
1316º;1200104;Brasiléia; Acre;AC;27123
1317º;2607604;Ilha de Itamaracá; Pernambuco;PE;27076
1318º;2913200;Ibotirama; Bahia;BA;27076
1319º;2922904;Nova Soure; Bahia;BA;27047
1320º;4123501;Santa Helena; Paraná;PR;27036
1321º;2303204;Caririaçu; Ceará;CE;27008
1322º;2913507;Iguaí; Bahia;BA;27006
1323º;2404200;Goianinha; Rio Grande do Norte;RN;27004
1324º;2800670;Boquim; Sergipe;SE;26980
1325º;2100303;Aldeias Altas; Maranhão;MA;26979
1326º;3547601;Santa Rosa de Viterbo; São Paulo;SP;26960
1327º;2804607;Nossa Senhora das Dores; Sergipe;SE;26957
1328º;2201507;Batalha; Piauí;PI;26951
1329º;5108600;Vila Rica; Mato Grosso;MT;26946
1330º;3144003;Mutum; Minas Gerais;MG;26945
1331º;4121703;Reserva; Paraná;PR;26933
1332º;4321303;Taquari; Rio Grande do Sul;RS;26907
1333º;3520442;Ilha Solteira; São Paulo;SP;26886
1334º;3144607;Nepomuceno; Minas Gerais;MG;26882
1335º;4322806;Veranópolis; Rio Grande do Sul;RS;26813
1336º;2928208;Santana; Bahia;BA;26792
1337º;3529203;Martinópolis; São Paulo;SP;26791
1338º;2202901;Corrente; Piauí;PI;26771
1339º;3202454;Ibatiba; Espírito Santo;ES;26762
1340º;2604601;Condado; Pernambuco;PE;26755
1341º;5100201;Água Boa; Mato Grosso;MT;26679
1342º;3118809;Coração de Jesus; Minas Gerais;MG;26620
1343º;3509403;Cajuru; São Paulo;SP;26613
1344º;2301208;Aracoiaba; Ceará;CE;26600
1345º;2925006;Planalto; Bahia;BA;26581
1346º;3204054;Pedro Canário; Espírito Santo;ES;26575
1347º;1303601;Santa Isabel do Rio Negro; Amazonas;AM;26566
1348º;3156908;Sacramento; Minas Gerais;MG;26556
1349º;3134905;Jacutinga; Minas Gerais;MG;26538
1350º;3162906;São João Nepomuceno; Minas Gerais;MG;26530
1351º;2304954;Guaiúba; Ceará;CE;26508
1352º;3507100;Bom Jesus dos Perdões; São Paulo;SP;26506
1353º;5002951;Chapadão do Sul; Mato Grosso do Sul;MS;26499
1354º;2906204;Canarana; Bahia;BA;26468
1355º;4210506;Maravilha; Santa Catarina;SC;26463
1356º;3126703;Francisco Sá; Minas Gerais;MG;26459
1357º;1303304;Novo Aripuanã; Amazonas;AM;26443
1358º;2614808;Tacaratu; Pernambuco;PE;26439
1359º;2610202;Panelas; Pernambuco;PE;26438
1360º;1709302;Guaraí; Tocantins;TO;26403
1361º;5001003;Aparecida do Taboado; Mato Grosso do Sul;MS;26386
1362º;5005004;Jardim; Mato Grosso do Sul;MS;26375
1363º;2907301;Castro Alves; Bahia;BA;26369
1364º;4311007;Jaguarão; Rio Grande do Sul;RS;26327
1365º;2611507;Quipapá; Pernambuco;PE;26309
1366º;4102109;Astorga; Paraná;PR;26304
1367º;2607505;Itaíba; Pernambuco;PE;26268
1368º;3553401;Tanabi; São Paulo;SP;26231
1369º;2908606;Conde; Bahia;BA;26223
1370º;3205069;Venda Nova do Imigrante; Espírito Santo;ES;26204
1371º;2313203;Tamboril; Ceará;CE;26199
1372º;4309407;Guaporé; Rio Grande do Sul;RS;26199
1373º;2305605;Independência; Ceará;CE;26196
1374º;4319505;São Sebastião do Caí; Rio Grande do Sul;RS;26161
1375º;1503077;Garrafão do Norte; Pará;PA;26155
1376º;2105427;Itinga do Maranhão; Maranhão;MA;26134
1377º;2112456;Turilândia; Maranhão;MA;26112
1378º;2911105;Formosa do Rio Preto; Bahia;BA;26111
1379º;2608750;Lagoa Grande; Pernambuco;PE;26090
1380º;3203403;Mimoso do Sul; Espírito Santo;ES;26079
1381º;5203500;Bom Jesus de Goiás; Goiás;GO;26069
1382º;2111102;São João dos Patos; Maranhão;MA;26063
1383º;2516003;Solânea; Paraíba;PB;26051
1384º;4306908;Encruzilhada do Sul; Rio Grande do Sul;RS;26039
1385º;2309458;Ocara; Ceará;CE;25958
1386º;1507151;São Domingos do Araguaia; Pará;PA;25945
1387º;3538907;Pirajuí; São Paulo;SP;25939
1388º;2110104;Santa Quitéria do Maranhão; Maranhão;MA;25884
1389º;3113206;Carandaí; Minas Gerais;MG;25831
1390º;2807600;Umbaúba; Sergipe;SE;25800
1391º;4119400;Piraí do Sul; Paraná;PR;25779
1392º;2921203;Miguel Calmon; Bahia;BA;25771
1393º;1505031;Novo Progresso; Pará;PA;25769
1394º;1507904;Soure; Pará;PA;25752
1395º;2914406;Iraquara; Bahia;BA;25728
1396º;3502200;Angatuba; São Paulo;SP;25724
1397º;3537404;Pereira Barreto; São Paulo;SP;25685
1398º;3162005;São Gonçalo do Sapucaí; Minas Gerais;MG;25670
1399º;2709400;Viçosa; Alagoas;AL;25655
1400º;3531407;Monte Aprazível; São Paulo;SP;25651
1401º;3302908;Miguel Pereira; Rio de Janeiro;RJ;25622
1402º;4208500;Ituporanga; Santa Catarina;SC;25619
1403º;2303808;Cedro; Ceará;CE;25612
1404º;2918357;João Dourado; Bahia;BA;25606
1405º;3507803;Brodowski; São Paulo;SP;25605
1406º;3540754;Potim; São Paulo;SP;25603
1407º;5211206;Itapuranga; Goiás;GO;25597
1408º;2703106;Igaci; Alagoas;AL;25596
1409º;2201903;Bom Jesus; Piauí;PI;25584
1410º;4103602;Cambará; Paraná;PR;25569
1411º;2609006;Macaparana; Pernambuco;PE;25565
1412º;3303955;Pinheiral; Rio de Janeiro;RJ;25563
1413º;2108256;Pedro do Rosário; Maranhão;MA;25560
1414º;3135803;Jequitinhonha; Minas Gerais;MG;25555
1415º;3304151;Quissamã; Rio de Janeiro;RJ;25535
1416º;2205805;Luzilândia; Piauí;PI;25521
1417º;3129509;Ibiá; Minas Gerais;MG;25511
1418º;2104677;Governador Nunes Freire; Maranhão;MA;25502
1419º;2110039;Santa Luzia do Paruá; Maranhão;MA;25487
1420º;5004502;Itaporã; Mato Grosso do Sul;MS;25478
1421º;4203956;Capivari de Baixo; Santa Catarina;SC;25477
1422º;3169604;Tupaciguara; Minas Gerais;MG;25466
1423º;4304663;Capão do Leão; Rio Grande do Sul;RS;25462
1424º;2925808;Queimadas; Bahia;BA;25428
1425º;2312700;Senador Pompeu; Ceará;CE;25418
1426º;2504603;Conde; Paraíba;PB;25341
1427º;5000708;Anastácio; Mato Grosso do Sul;MS;25336
1428º;2707107;Piranhas; Alagoas;AL;25324
1429º;5007109;Ribas do Rio Pardo; Mato Grosso do Sul;MS;25310
1430º;3124203;Espera Feliz; Minas Gerais;MG;25287
1431º;2600302;Agrestina; Pernambuco;PE;25240
1432º;5217302;Pirenópolis; Goiás;GO;25218
1433º;2705002;Mata Grande; Alagoas;AL;25200
1434º;3109303;Buritis; Minas Gerais;MG;25179
1435º;2305308;Ibiapina; Ceará;CE;25165
1436º;2924801;Piritiba; Bahia;BA;25162
1437º;1506609;Santa Maria do Pará; Pará;PA;25127
1438º;2304251;Cruz; Ceará;CE;25121
1439º;3101102;Aimorés; Minas Gerais;MG;25116
1440º;3512407;Cordeirópolis; São Paulo;SP;25116
1441º;3501301;Álvares Machado; São Paulo;SP;25078
1442º;4310801;Ivoti; Rio Grande do Sul;RS;25068
1443º;3162401;São João da Ponte; Minas Gerais;MG;25033
1444º;4320107;Sarandi; Rio Grande do Sul;RS;25024
1445º;2901106;Amélia Rodrigues; Bahia;BA;24997
1446º;3521408;Iracemápolis; São Paulo;SP;24982
1447º;4320909;Tapejara; Rio Grande do Sul;RS;24973
1448º;2507002;Itaporanga; Paraíba;PB;24960
1449º;2307403;Jucás; Ceará;CE;24949
1450º;4206306;Guabiruba; Santa Catarina;SC;24922
1451º;2906709;Cândido Sales; Bahia;BA;24921
1452º;3507902;Brotas; São Paulo;SP;24862
1453º;3147402;Paraopeba; Minas Gerais;MG;24854
1454º;5002100;Bela Vista; Mato Grosso do Sul;MS;24842
1455º;3520004;Igaraçu do Tietê; São Paulo;SP;24821
1456º;2603702;Canhotinho; Pernambuco;PE;24743
1457º;2704005;Junqueiro; Alagoas;AL;24716
1458º;2304350;Forquilha; Ceará;CE;24680
1459º;2703205;Igreja Nova; Alagoas;AL;24670
1460º;2705101;Matriz de Camaragibe; Alagoas;AL;24627
1461º;4318408;São Jerônimo; Rio Grande do Sul;RS;24569
1462º;2301703;Aurora; Ceará;CE;24567
1463º;1507458;São Geraldo do Araguaia; Pará;PA;24566
1464º;5217104;Piracanjuba; Goiás;GO;24543
1465º;4216909;São Lourenço do Oeste; Santa Catarina;SC;24501
1466º;3162955;São José da Lapa; Minas Gerais;MG;24490
1467º;2306108;Irauçuba; Ceará;CE;24450
1468º;2411502;Santo Antônio; Rio Grande do Norte;RN;24422
1469º;2702355;Craíbas; Alagoas;AL;24396
1470º;1506302;Salvaterra; Pará;PA;24392
1471º;4212809;Balneário Piçarras; Santa Catarina;SC;24385
1472º;2506905;Itabaiana; Paraíba;PB;24363
1473º;1502004;Cachoeira do Arari; Pará;PA;24355
1474º;3148707;Pedra Azul; Minas Gerais;MG;24333
1475º;2706406;Pão de Açúcar; Alagoas;AL;24307
1476º;2109007;Porto Franco; Maranhão;MA;24294
1477º;4105904;Colorado; Paraná;PR;24271
1478º;2512903;Rio Tinto; Paraíba;PB;24258
1479º;4120804;Quatro Barras; Paraná;PR;24253
1480º;3143401;Monte Sião; Minas Gerais;MG;24247
1481º;2605004;Cupira; Pernambuco;PE;24237
1482º;4104659;Carambeí; Paraná;PR;24225
1483º;2918803;Laje; Bahia;BA;24214
1484º;4322202;Tupanciretã; Rio Grande do Sul;RS;24182
1485º;1502509;Chaves; Pará;PA;24175
1486º;2703809;Joaquim Gomes; Alagoas;AL;24167
1487º;2102804;Carolina; Maranhão;MA;24151
1488º;1304401;Urucurituba; Amazonas;AM;24098
1489º;2102903;Carutapera; Maranhão;MA;24095
1490º;3502705;Apiaí; São Paulo;SP;24081
1491º;4205704;Garopaba; Santa Catarina;SC;24070
1492º;2708303;São José da Laje; Alagoas;AL;24064
1493º;5005202;Ladário; Mato Grosso do Sul;MS;24040
1494º;2607000;Inajá; Pernambuco;PE;24034
1495º;3130903;Inhapim; Minas Gerais;MG;24020
1496º;2805505;Poço Verde; Sergipe;SE;24003
1497º;2102309;Buriti Bravo; Maranhão;MA;23993
1498º;2932002;Uauá; Bahia;BA;23991
1499º;2609709;Orobó; Pernambuco;PE;23985
1500º;3105103;Bambuí; Minas Gerais;MG;23964
1501º;2911907;Iaçu; Bahia;BA;23950
1502º;4124053;Santa Terezinha de Itaipu; Paraná;PR;23927
1503º;4215703;Santo Amaro da Imperatriz; Santa Catarina;SC;23907
1504º;3113008;Caraí; Minas Gerais;MG;23872
1505º;3204609;Santa Teresa; Espírito Santo;ES;23853
1506º;2614857;Tamandaré; Pernambuco;PE;23852
1507º;5210901;Itapaci; Goiás;GO;23850
1508º;4321808;Três de Maio; Rio Grande do Sul;RS;23846
1509º;4321907;Três Passos; Rio Grande do Sul;RS;23799
